,time,Int_WZ
799.0,799.0,14.80437870811398
800.0,800.0,14.716106888943367
801.0,801.0,14.721114892237887
802.0,802.0,14.77791011592822
808.0,808.0,14.82213438735178
809.0,809.0,14.723407887997267
810.0,810.0,14.737664154168932
811.0,811.0,14.689582355701546
817.0,817.0,14.725665859564163
818.0,818.0,14.819382440476188
819.0,819.0,14.807920792079209
820.0,820.0,14.693522002290203
826.0,826.0,14.618076259218578
827.0,827.0,14.59264627355252
828.0,828.0,14.726499157100426
829.0,829.0,14.612876380692995
835.0,835.0,14.675962506778214
836.0,836.0,14.68432999373826
837.0,837.0,14.657758173326414
838.0,838.0,14.675601103665748
843.0,843.0,14.754175236528177
844.0,844.0,14.735709102636461
845.0,845.0,14.735440804112635
851.0,851.0,14.760156369768513
852.0,852.0,14.804832411324439
853.0,853.0,14.928350730688937
854.0,854.0,14.79227854097584
860.0,860.0,14.861815910687795
861.0,861.0,14.848831664282308
868.0,868.0,15.036937283570603
869.0,869.0,15.111005467078678
870.0,870.0,15.112079510703365
871.0,871.0,15.21435468297393
874.0,874.0,15.21473005145534
875.0,875.0,14.98240100565682
876.0,876.0,15.04564315352697
877.0,877.0,15.06454228492662
878.0,878.0,14.99047094030556
879.0,879.0,15.011786600496276
885.0,885.0,15.178249515626314
886.0,886.0,15.121647663401315
887.0,887.0,15.065874989970313
888.0,888.0,15.131001001772368
894.0,894.0,15.214776632302403
895.0,895.0,15.3119931711481
902.0,902.0,15.43336513994911
902.0,902.0,15.485535442395534
903.0,903.0,15.475621414913958
904.0,904.0,15.524976873265496
908.0,908.0,15.54030482641829
909.0,909.0,15.311645450259313
910.0,910.0,15.36595810947598
911.0,911.0,15.32084690553746
912.0,912.0,15.349021472149591
913.0,913.0,15.386102572399286
919.0,919.0,15.390339321357287
920.0,920.0,15.48472701034234
921.0,921.0,15.482205808292766
922.0,922.0,15.448840927258194
928.0,928.0,15.472589499729375
929.0,929.0,15.545076500588467
930.0,930.0,15.477512493059411
936.0,936.0,15.608316103836437
937.0,937.0,15.590545118570988
938.0,938.0,15.653520258819904
939.0,939.0,15.722495768579778
945.0,945.0,15.705459770114944
946.0,946.0,15.72846680464894
947.0,947.0,15.761382113821142
948.0,948.0,15.746563573883162
954.0,954.0,15.902837629075535
955.0,955.0,15.946653329999167
956.0,956.0,15.890126084820697
957.0,957.0,15.86401410224125
963.0,963.0,15.940968757196591
964.0,964.0,15.918820646589204
965.0,965.0,15.948078115313079
966.0,966.0,16.124638612271117
972.0,972.0,16.078635829086632
973.0,973.0,16.11033178343447
974.0,974.0,16.07213454487486
975.0,975.0,16.077482240211467
981.0,981.0,16.198217726396912
982.0,982.0,16.10743932326666
983.0,983.0,16.242483404919952
984.0,984.0,16.237687006219534
986.0,986.0,16.22592945662536
987.0,987.0,16.228478437754273
988.0,988.0,16.283198146002313
988.0,988.0,16.41239598724629
989.0,989.0,16.3011207774904
990.0,990.0,16.324192277383766
991.0,991.0,16.394472938834873
992.0,992.0,16.377271350696546
998.0,998.0,16.7931654676259
999.0,999.0,16.78643623177224
1005.0,1005.0,16.38972907399919
1006.0,1006.0,16.32741860823947
1007.0,1007.0,16.4220052393427
1008.0,1008.0,16.400856150553267
1014.0,1014.0,16.45508842693143
1015.0,1015.0,16.515955766192732
1016.0,1016.0,16.536128179201988
1023.0,1023.0,16.559180457052797
1024.0,1024.0,16.624654941241428
1024.0,1024.0,16.654530874097837
1031.0,1031.0,16.636907042685262
1032.0,1032.0,16.726604380456426
1033.0,1033.0,16.744265417890304
1034.0,1034.0,16.750612406163572
1040.0,1040.0,16.823574016345102
1041.0,1041.0,16.815245901639344
1042.0,1042.0,16.837831146323346
1043.0,1043.0,16.823747083903147
1049.0,1049.0,16.892761175800015
1050.0,1050.0,16.964348042882076
1051.0,1051.0,16.950330855322278
1052.0,1052.0,16.993312969536866
1058.0,1058.0,17.038659793814432
1059.0,1059.0,17.05089675230247
1060.0,1060.0,17.083168473530108
1061.0,1061.0,17.031133051994587
1067.0,1067.0,17.196213844653887
1068.0,1068.0,17.08458719887737
1069.0,1069.0,17.154826958105648
1075.0,1075.0,17.285054188019828
1076.0,1076.0,17.293908929627438
1077.0,1077.0,17.313723935621976
1078.0,1078.0,17.56843733883445
1084.0,1084.0,17.40266140956136
1085.0,1085.0,17.35015671461866
1086.0,1086.0,17.376496709222106
1087.0,1087.0,17.527948329479305
1093.0,1093.0,17.461926961926967
1094.0,1094.0,17.484490517518484
1095.0,1095.0,17.439426869516222
1096.0,1096.0,17.4834156669019
1102.0,1102.0,17.650585402308394
1103.0,1103.0,17.572160479230707
1104.0,1104.0,17.73319415448852
1105.0,1105.0,17.6639497921591
1105.0,1105.0,17.6340223652999
1106.0,1106.0,17.764836736315246
1107.0,1107.0,17.757655712800833
1108.0,1108.0,17.700219173634228
1111.0,1111.0,17.84220276187268
1111.0,1111.0,17.835269939135248
1112.0,1112.0,17.927598910780073
1119.0,1119.0,18.284599728629576
1120.0,1120.0,18.3278955954323
1121.0,1121.0,18.20388888888889
1127.0,1127.0,18.241382113821142
1128.0,1128.0,18.253579382755326
1129.0,1129.0,18.334634400208174
1134.0,1134.0,18.319272258895513
1135.0,1135.0,17.945632156297542
1136.0,1136.0,17.856169808332012
1142.0,1142.0,17.8890548502199
1143.0,1143.0,17.916957026713124
1144.0,1144.0,17.947084134395308
1145.0,1145.0,17.90332896031486
1151.0,1151.0,18.046590025066987
1152.0,1152.0,18.029115145137247
1153.0,1153.0,17.908466466002928
1154.0,1154.0,17.992038850409998
1155.0,1155.0,18.099084967320266
1156.0,1156.0,18.10272080368355
1157.0,1157.0,18.136765428056965
1158.0,1158.0,18.11825975482734
1160.0,1160.0,18.268459006113808
1161.0,1161.0,18.265323992994748
1162.0,1162.0,18.41358478243122
1169.0,1169.0,18.541640673736747
1170.0,1170.0,18.518057187622407
1170.0,1170.0,18.5575263662512
1171.0,1171.0,18.673518275249208
1178.0,1178.0,18.68220878421388
1178.0,1178.0,18.718440855669233
1179.0,1179.0,18.66519058782669
1180.0,1180.0,18.658629546772726
1182.0,1182.0,18.57367276242649
1183.0,1183.0,18.41000677277345
1183.0,1183.0,18.162261146496814
1184.0,1184.0,18.206155310541767
1187.0,1187.0,18.202299412915853
1188.0,1188.0,18.27263518778245
1189.0,1189.0,18.199429540548877
1190.0,1190.0,18.189973817957803
1196.0,1196.0,18.406435088842645
1197.0,1197.0,18.477604553328387
1198.0,1198.0,18.550476342966935
1199.0,1199.0,18.53863526375222
1205.0,1205.0,18.516442217350452
1206.0,1206.0,18.607081667618502
1207.0,1207.0,18.54765279746519
1208.0,1208.0,18.637588471049714
1214.0,1214.0,18.694374747065964
1215.0,1215.0,18.62716740533396
1216.0,1216.0,18.555876160024955
1222.0,1222.0,18.799965951651345
1223.0,1223.0,18.84920767306089
1224.0,1224.0,18.91433447098976
1225.0,1225.0,18.93120638085743
1231.0,1231.0,18.98543949727949
1232.0,1232.0,18.98930438279051
1233.0,1233.0,19.044353278117498
1234.0,1234.0,18.962582886012
1240.0,1240.0,19.21594317284925
1241.0,1241.0,19.216544620584205
1242.0,1242.0,19.124897691929934
1243.0,1243.0,19.24257759784076
1249.0,1249.0,19.310970012239906
1250.0,1250.0,19.306381322957197
1251.0,1251.0,19.38330229671012
1257.0,1257.0,19.35684580934101
1258.0,1258.0,19.371400603638143
1259.0,1259.0,19.422566013283653
1260.0,1260.0,19.379935965848453
1266.0,1266.0,19.594601089394427
1267.0,1267.0,19.55106665624756
1268.0,1268.0,19.634134576734464
1269.0,1269.0,19.56071987480438
1275.0,1275.0,19.73252781641168
1276.0,1276.0,19.833566433566435
1277.0,1277.0,19.692412249140478
1278.0,1278.0,19.650771497247426
1284.0,1284.0,19.83837825021734
1285.0,1285.0,19.772528717036078
1286.0,1286.0,19.811461930603517
1287.0,1287.0,19.839159663865548
1293.0,1293.0,19.93845192533
1294.0,1294.0,20.036801417297468
1295.0,1295.0,20.038938053097347
1301.0,1301.0,20.09524942501388
1302.0,1302.0,20.15190483845041
1303.0,1303.0,20.04442329049659
1304.0,1304.0,20.232665512408282
1310.0,1310.0,20.34890421723566
1311.0,1311.0,20.354098360655733
1312.0,1312.0,20.385662431941928
1313.0,1313.0,20.233369514653443
1319.0,1319.0,20.40758643290185
1320.0,1320.0,20.431493182573995
1321.0,1321.0,20.367951601644304
1322.0,1322.0,20.381189636670246
1328.0,1328.0,20.476321207961565
1329.0,1329.0,20.480609310639625
1330.0,1330.0,20.59937013094646
1331.0,1331.0,20.523203125
1337.0,1337.0,20.54608136060676
1338.0,1338.0,20.691090951384044
1339.0,1339.0,20.709038220551374
1340.0,1340.0,20.633645146449933
1346.0,1346.0,20.82765907490021
1347.0,1347.0,20.75671045117076
1348.0,1348.0,20.804067115131836
1349.0,1349.0,20.734309457855165
1355.0,1355.0,20.85487421383648
1356.0,1356.0,20.94731800766284
1357.0,1357.0,20.908072487644148
1358.0,1358.0,20.969131371141426
1364.0,1364.0,20.988508498922673
1365.0,1365.0,21.045988560828565
1366.0,1366.0,20.98625192012289
1367.0,1367.0,20.98932356608479
1373.0,1373.0,21.19980371309397
1374.0,1374.0,21.129775914879893
1375.0,1375.0,21.1985559566787
1376.0,1376.0,21.191373169766518
1382.0,1382.0,21.220691341920755
1383.0,1383.0,21.241811404552305
1384.0,1384.0,21.2688767550702
1385.0,1385.0,21.342465753424662
1391.0,1391.0,21.32970006184292
1392.0,1392.0,21.33451028553884
1393.0,1393.0,21.53273347812597
1394.0,1394.0,21.33361715303042
1400.0,1400.0,21.562029171341557
1401.0,1401.0,21.5905046910385
1402.0,1402.0,21.521514894927254
1403.0,1403.0,21.535330913584065
1409.0,1409.0,21.65978359626662
1410.0,1410.0,21.767738726790448
1411.0,1411.0,21.663432479720054
1412.0,1412.0,21.81069892036691
1418.0,1418.0,21.874571165592844
1419.0,1419.0,21.75191675794085
1420.0,1420.0,21.73081721771678
1426.0,1426.0,21.9953909726637
1427.0,1427.0,21.874845105328372
1428.0,1428.0,21.97560580273928
1429.0,1429.0,21.915372790161413
1435.0,1435.0,22.085541790810726
1436.0,1436.0,22.09748074454429
1437.0,1437.0,22.01723443665941
1438.0,1438.0,22.006847158822602
1444.0,1444.0,22.249246804006187
1445.0,1445.0,22.101908793227377
1446.0,1446.0,22.27055011065444
1447.0,1447.0,22.233467012660213
1453.0,1453.0,22.29517326732673
1454.0,1454.0,22.332175533717383
1455.0,1455.0,22.363629141177405
1456.0,1456.0,22.44332662642522
1462.0,1462.0,22.471467286101433
1463.0,1463.0,22.41382265856319
1464.0,1464.0,22.494504637929694
1465.0,1465.0,22.41924238903091
1471.0,1471.0,22.61930654058314
1472.0,1472.0,22.62054219783766
1473.0,1473.0,22.621881946159547
1474.0,1474.0,22.629029746145463
1480.0,1480.0,22.781551808806682
1481.0,1481.0,22.753114943477183
1482.0,1482.0,22.65012523481528
1483.0,1483.0,22.795051875498807
1489.0,1489.0,22.835024600246
1490.0,1490.0,22.871729171519533
1491.0,1491.0,22.86095779220779
1497.0,1497.0,23.01817466561762
1498.0,1498.0,22.982532751091703
1499.0,1499.0,22.99682834377659
1500.0,1500.0,23.023874818519115
1506.0,1506.0,23.06652244456463
1507.0,1507.0,23.129779749158764
1508.0,1508.0,23.054829089240645
1509.0,1509.0,23.04592511870475
1515.0,1515.0,23.266439008894533
1516.0,1516.0,23.26210125376924
1517.0,1517.0,23.27571882381689
1518.0,1518.0,23.233297413793107
1524.0,1524.0,23.45428434657731
1525.0,1525.0,23.35359244348095
1526.0,1526.0,23.381288343558282
1532.0,1532.0,23.40489406614025
1533.0,1533.0,23.47592635390186
1534.0,1534.0,23.45854184309801
1535.0,1535.0,23.441991945477074
1541.0,1541.0,23.657584621813626
1542.0,1542.0,23.580680061823802
1543.0,1543.0,23.590493884502244
1544.0,1544.0,23.77379310344828
1550.0,1550.0,23.844982864429745
1551.0,1551.0,23.886814566764336
1552.0,1552.0,23.854192519056905
1553.0,1553.0,23.908484800380982
1559.0,1559.0,23.968976563817233
1560.0,1560.0,23.973219827968432
1561.0,1561.0,23.963042757706326
1562.0,1562.0,23.89823179677245
1568.0,1568.0,23.924399172369892
1569.0,1569.0,24.129259143482336
1570.0,1570.0,24.116141732283463
1576.0,1576.0,24.211833258628417
1577.0,1577.0,24.211395056556352
1578.0,1578.0,24.12824010914052
1579.0,1579.0,24.11722954527728
1585.0,1585.0,24.24778200253485
1586.0,1586.0,24.330824119814945
1587.0,1587.0,24.30953346855984
1588.0,1588.0,24.29049282110982
1594.0,1594.0,24.457290425109253
1595.0,1595.0,24.375270646458397
1596.0,1596.0,24.405670144142707
1597.0,1597.0,24.54590087281796
1603.0,1603.0,24.540984871874038
1604.0,1604.0,24.552870090634446
1605.0,1605.0,24.53187448389761
1606.0,1606.0,24.541448724045008
1612.0,1612.0,24.64910179640719
1613.0,1613.0,24.716002228057608
1614.0,1614.0,24.674363992172214
1620.0,1620.0,24.90465018852116
1621.0,1621.0,24.81152282676673
1622.0,1622.0,24.80675437189155
1623.0,1623.0,24.817802056555273
1629.0,1629.0,24.98282362798492
1630.0,1630.0,25.044539755856157
1631.0,1631.0,25.10891175444716
1632.0,1632.0,25.06306863351294
1638.0,1638.0,25.05896670854271
1639.0,1639.0,25.090139751552798
1640.0,1640.0,25.052251552795035
1641.0,1641.0,24.945588687365515
1647.0,1647.0,25.182049895728746
1648.0,1648.0,25.018330252618608
1649.0,1649.0,25.26556621880998
1650.0,1650.0,25.20091141669332
1656.0,1656.0,25.270801572655056
1657.0,1657.0,25.371336032388662
1658.0,1658.0,25.36451158422041
1659.0,1659.0,25.27279623729328
1665.0,1665.0,25.46234020030942
1666.0,1666.0,25.50598404255319
1667.0,1667.0,25.467411103191573
1668.0,1668.0,25.564804971788373
1674.0,1674.0,25.61362725450902
1675.0,1675.0,25.511293953271757
1676.0,1676.0,25.55863342566944
1677.0,1677.0,25.518872980629354
1683.0,1683.0,25.61946832846888
1684.0,1684.0,25.768668113495696
1685.0,1685.0,25.741247484909454
1691.0,1691.0,25.856287909421763
1692.0,1692.0,25.913220940550126
1693.0,1693.0,25.851643632388534
1694.0,1694.0,25.83470086831833
1700.0,1700.0,26.006700701978307
1701.0,1701.0,25.960885551122583
1702.0,1702.0,25.918272579521712
1703.0,1703.0,26.105523426368283
1709.0,1709.0,26.156639736449925
1710.0,1710.0,26.154444177286205
1711.0,1711.0,26.097781556775146
1712.0,1712.0,26.095533301541888
1718.0,1718.0,26.325590676883785
1719.0,1719.0,26.184033744727394
1720.0,1720.0,26.111661341853036
