,NIG,name,Monitor,Timestamp
334.0,0.000306,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_142.tif,12641.0,
335.0,0.000306,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_143.tif,12986.0,
336.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_144.tif,12490.0,
342.0,0.0003,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_145.tif,12049.0,
343.0,0.000298,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_146.tif,12764.0,
344.0,0.000298,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_147.tif,12422.0,
345.0,0.000298,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_148.tif,12775.0,
347.0,0.000298,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_149.tif,11282.0,
348.0,0.000297,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_150.tif,12315.0,
349.0,0.0003,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_151.tif,12659.0,
350.0,0.000306,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_152.tif,11450.0,
350.0,0.000315,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_153.tif,12083.0,
351.0,0.000321,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_154.tif,12969.0,
352.0,0.000326,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_155.tif,13043.0,
353.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_156.tif,12775.0,
359.0,0.000346,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_157.tif,12586.0,
360.0,0.000348,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_158.tif,12053.0,
361.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_159.tif,12102.0,
368.0,0.000357,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_160.tif,12768.0,
368.0,0.000356,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_161.tif,12967.0,
369.0,0.00036,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_162.tif,12416.0,
370.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_163.tif,12629.0,
377.0,0.000366,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_164.tif,12690.0,
377.0,0.000365,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_165.tif,12997.0,
378.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_166.tif,12869.0,
379.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_167.tif,12698.0,
386.0,0.000371,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_168.tif,12778.0,
