,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name
0.5666666666666667,0.000423,25.538979709192475,11.994249568717654,997.852296065062,7.197895891099934,6.799336409253724,7.120538410816244,5.029941459001289,8.521807013195302,-4.395829413784486,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_35.tif
0.5833333333333334,0.000423,25.57565130260521,12.068637274549099,1001.1201569806279,7.282122354519174,6.4351695093560615,7.130389081842829,5.61374593389013,7.814280407375803,-4.398302257600785,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_36.tif
0.6,0.000423,25.500504201680673,12.100840336134453,1000.1791596638656,7.181374334221249,6.443702995120236,7.099523136198156,5.160194491936153,8.685892698184379,-4.39262874082794,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_37.tif
0.6166666666666667,0.000424,25.445844658594844,12.018202783955193,997.1089696071164,7.18222648914241,6.694465153093693,7.068791438337373,5.160458020268705,8.367207524114884,-4.3970923156912285,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_38.tif
0.6333333333333333,0.000423,25.472201130515483,12.114991985151438,1000.939677718721,7.163863863541543,6.711604591678568,7.084512902278222,5.274512570061047,9.223383626066942,-4.39508097369135,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_39.tif
0.65,0.000423,25.436935457382166,12.068402036459188,1000.3497290195435,7.3260143341038795,6.733427818542948,7.083321353214208,5.271844458752906,8.437539906686796,-4.386792167677083,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_40.tif
0.6666666666666666,0.000422,25.44025413374603,12.046916999266921,999.3961065406859,7.182337278738394,6.712935204109797,7.093555878516531,5.285407597120181,9.375994957193155,-4.399394245894934,14,19,19,15,26,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_41.tif
0.6666666666666666,0.000422,25.54518556090963,12.095866091808269,1001.9603516780793,7.131349609841133,6.477903785008934,7.093785314652396,5.2245069492529375,8.898564074361918,-4.390694076448765,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_42.tif
0.6833333333333333,0.000422,25.409363046732082,12.045401629802095,999.0804091135873,7.182839745639241,6.828197913912102,7.1071084720328574,5.406119186220805,8.744107088109395,-4.393345639760488,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_43.tif
0.7,0.000422,25.597251585623678,12.033033826638478,1001.4768322762509,7.126695972954969,6.863057756350427,7.112093783669949,5.129820696200039,9.019376136056065,-4.401284191046818,14,19,19,15,27,21,./pilatus/InAs0801/InAs0801time3a/InAs0801time3a_1_44.tif
