,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name,COM_x_WZ,COM_x_ZB,COM_x_TW,COM_y_WZ,COM_y_ZB,COM_y_TW
372.0,0.000402,144.60620544394038,178.27049578742708,55.56075826312379,,17.555813304910043,,,20.881693194920555,,1,37,10,87,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_51.tif,54.16112265471684,43.360366922948636,54.738283744652556,30.334236218213924,38.523677263764725,13.537278265256429
373.0,0.000403,144.77309818373257,178.50109677985435,55.73027989821883,29.56358914457954,17.83523610079262,,78.43588334119484,21.07980737446811,,19,35,9,72,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_52.tif,54.13103318284657,43.36465020986769,54.80667959783235,30.338855221793732,38.47399080897985,13.526831119186092
374.0,0.000402,144.80024824162186,178.26197765825404,55.69987587918908,33.45407260406428,17.343402683153283,,80.19694596211357,20.80305182091194,,28,37,10,78,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_53.tif,54.134215397240204,43.39585228770791,54.75279179597494,30.351501876381143,38.52652374604047,13.540071575751004
375.0,0.000403,144.53576816196903,177.99468042874156,55.56967050416832,,17.502949165380826,29.698245643177735,,20.59292636399787,5948.992879491584,0,37,9,74,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_54.tif,54.154875666601484,43.371267301055425,54.81097013859123,30.358344850771356,38.50213507368714,13.537836833833405
376.0,0.000403,144.2076798706548,177.87348423605496,55.61083265966047,32.130001032414384,17.518881522401973,27.116980425496394,77.6092712031291,20.30388463626138,53.77524378348317,24,37,9,67,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_55.tif,54.15257233095402,43.351160185338784,54.67740214506052,30.336889501297474,38.495863963695776,13.527823568917846
377.0,0.000403,144.11562115621157,177.82041820418203,55.43219557195572,30.475631482247277,17.330038399531663,25.807312732066706,7.407336219835521,20.41329451981663,306.7469401307454,20,37,10,66,38,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_56.tif,54.13293692282744,43.35088115973106,54.784809073283576,30.358519643070515,38.507956895716895,13.53207629857072
378.0,0.000403,144.31601696950293,178.2068358280637,55.49067477787561,22.589001181579352,16.81980116949016,29.913061458087128,174.63382320195953,20.765254917055504,5627.803495490725,4,38,9,80,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_57.tif,54.161731948927866,43.386040664086046,54.766668349573386,30.342287596925022,38.51401224791564,13.521335170105807
379.0,0.000403,144.55512572533848,178.18544487427465,55.58405867182463,24.92714390534312,16.950977702679886,26.578752839911395,219.63483351523084,20.344667701238123,128.0374879786406,11,38,9,69,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_58.tif,54.135374991637114,43.37557131065052,54.805974304285854,30.321077250730358,38.52828748148399,13.525529696804492
380.0,0.000402,144.31605070250458,177.89783139890042,55.47495418448381,29.443539199691827,17.42265714487379,,10.878301788306713,20.588642438620226,,23,36,9,58,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_59.tif,54.14934472262156,43.37171456164825,54.82528423950448,30.34507395118317,38.51683056121902,13.541800412938747
380.0,0.000403,144.06238489871086,177.92387968078575,55.47153161448742,30.226851585755544,17.380392476457736,25.988952622708755,144.647083074599,20.723788673541687,16.097156035099623,23,36,8,67,38,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_60.tif,54.130402291228236,43.3910218811888,54.821695796819775,30.354006906282606,38.521502097723555,13.523990012518935
381.0,0.000403,144.43038886221797,178.24363898223714,55.43887021923508,21.6494173086853,17.367028065159758,28.941975515585487,153.85369882736444,20.587822241033376,108.48850257356865,3,37,10,86,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_61.tif,54.14334789769602,43.37674648481004,54.785158939202596,30.32626443763777,38.502465559600104,13.535465993144507
382.0,0.000401,144.04648543106038,177.95974767197356,55.34890357464704,25.73267491798419,17.085446234516503,27.149465639900527,5623.962901290412,20.197008487852994,6780.84847788434,14,36,5,73,39,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_62.tif,54.142187440534315,43.355226711094005,54.802051759368055,30.346709778257182,38.53097338410743,13.517529910749417
383.0,0.000401,144.09474912485413,177.8343057176196,55.464021781408015,21.29039244829388,17.596117818864546,,83.52312899514646,20.50413107911685,,3,36,9,84,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_63.tif,54.12463869984852,43.395158044845715,54.78716952551929,30.347292448786344,38.50046980394215,13.519068991149947
384.0,0.000403,144.39913466738778,177.76396507764815,55.409410492157924,29.172715254466727,17.32713347678779,28.258506066188836,2810.2753969491528,20.649714356772343,5430.945950736643,19,37,9,72,42,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_64.tif,54.1394504317379,43.374539453468124,54.79575801350877,30.330406033736445,38.492456316262306,13.53245979998996
385.0,0.000403,144.52202177799447,178.13278075735414,55.62839265398993,33.22320920457169,17.475671444477406,27.860603153363382,100.4476459037236,21.075820400178937,164.34762008066127,26,36,10,87,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_65.tif,54.12122656998529,43.383969359090045,54.76755974249266,30.327790235301,38.52232012926406,13.527643182585095
386.0,0.000403,144.21554660885724,177.97522452771756,55.4804118922267,,17.186527352025664,26.647402143999958,,20.797780939011695,5543.6532964616445,20,37,9,66,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_66.tif,54.1383473775533,43.36340271663285,54.76585610918453,30.35001782370424,38.52493944477119,13.521057515856459
387.0,0.0004,144.0256980668917,177.87250690395828,55.46195151887082,32.61688898611441,17.587233697659368,28.97922856404452,333.7122232971108,20.579568086774305,8360.285868773297,26,37,5,86,38,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_67.tif,54.11784754242167,43.36117280633584,54.788660335656054,30.35521611232696,38.506804108772585,13.518102301238448
389.0,0.0004,144.252467819632,177.8299770986338,55.45873805575298,31.12132467163718,17.48224835127674,27.54349541898954,156.79877309253362,20.9763113852621,8022.014734599405,22,37,5,65,41,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_68.tif,54.12575841600202,43.40100476894444,54.72972942184959,30.3387291293606,38.506399373673595,13.532211074310027
390.0,0.000383,144.39215842214094,178.01328137426435,55.687609352632414,27.605816271456288,17.115256279761457,28.98919167567189,30.375417427936554,20.608143840623597,7892.140819504108,15,37,7,89,40,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_69.tif,54.12371811430683,43.39484993113197,54.79604436345356,30.341453755727485,38.511721861612564,13.530859049207674
391.0,0.000372,144.1908838500694,177.77371587228134,55.35971001079747,32.223765421980275,17.322594023561063,28.587430793837918,77.95992429210132,20.5564456107869,4421.613348917602,26,36,8,55,40,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_70.tif,54.08809042035667,43.37108798471506,54.79353686433712,30.34405874263671,38.49610284362698,13.530886298854545
392.0,0.000363,144.1895873505592,177.9274971075974,55.35680678750482,23.101692685121833,17.46066727298209,28.416628341834606,6298.67941879034,20.491264910395042,8801.989329732305,8,36,7,71,40,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_71.tif,54.10977373706683,43.3599498012424,54.764148301312105,30.33475926732277,38.47147860917363,13.518544630702758
393.0,0.000358,144.37149199302362,178.0106231171714,55.41422229269066,35.57232259678648,17.672316648727744,27.122935567128547,20.399797943212292,20.88400201452476,10250.611213908036,32,36,5,88,40,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_72.tif,54.12941230090352,43.36712899912979,54.77091252441004,30.33980468968789,38.510456367744915,13.521849226389316
394.0,0.000353,144.29581968491655,177.66487287474652,55.45476524723132,19.28800234297212,17.34894107803816,28.9330065412017,3449.014339188123,20.496347056666824,6911.23165022456,0,37,5,69,42,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_73.tif,54.154433046637564,43.36994335868138,54.7864215987545,30.341312999247094,38.49978248644985,13.525087864131605
395.0,0.000348,144.47740332349744,177.4275508619351,55.54907594346948,29.963664187935965,17.535305993816703,26.95617223224323,131.79332959358604,20.044228426283723,7945.58881255932,23,35,5,58,39,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_74.tif,54.12039632802674,43.38121030481699,54.784422130924106,30.34239000741704,38.47608398047715,13.542575007583583
396.0,0.000344,144.371643721001,177.31786719403667,55.48847645850764,35.52033703118776,17.472736687613853,28.00745772518145,69.7950851809364,20.78753023956643,8630.002732802992,39,37,5,62,41,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_75.tif,54.13518951515605,43.36326258001251,54.78993210483244,30.34296969422366,38.49028139179941,13.520606382118334
397.0,0.00034,144.44798334233053,177.80172746201896,55.67347883087838,,17.265403036774227,27.280961103542033,,21.070106760929967,9477.884917927839,1,35,7,70,40,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_76.tif,54.147035568057994,43.383090405563955,54.757221734324396,30.338069263241856,38.47711028364103,13.536857371612843
